VDR Name,Account,Date,Memo,Document Number/ID,Transaction,Type,Total Amount (Transaction Currency)
VDR-0106 Orion Labs,
,Accrued Purchases,6/12/2020,PO 061120MOL - received from RD on 06/21/2020,0684344,Bill #0684344,VendBill,-537.66,
,Accrued Purchases,6/22/2020,PO 062220FLOW,1246135,Bill #1246135,VendBill,-203.82,
,Accrued Purchases,6/12/2020,PO 061220FLOW,0684343,Bill #0684343,VendBill,-436.52,
,Accrued Purchases,6/11/2020,052120APCyto,IR-0306,Item Receipt #IR-0306,ItemRcpt,-257.2,
,Accrued Purchases,7/22/2020,PO 072220FLOW - received from RD on 07/28/2020,3882903,Bill #3882903,VendBill,-710.44,
,Accrued Purchases,7/13/2020,071020Cyto,IR-0312,Item Receipt #IR-0312,ItemRcpt,-894.4,
,Accrued Purchases,7/22/2020,072020APMOL,IR-0331,Item Receipt #IR-0331,ItemRcpt,-327.04,
,Accrued Purchases,7/23/2020,PO 072120CYTO,3977209,Bill #3977209,VendBill,-367.38,
,Accrued Purchases,7/27/2020,072120Cyto,IR-0358,Item Receipt #IR-0358,ItemRcpt,-318.6,
,Accrued Purchases,7/20/2020,PO 072020APMOL - received from RD on 07/28/2020,3716916,Bill #3716916,VendBill,-887.53,
,Accrued Purchases,7/20/2020,PO 072020APMOL - received from RD on 07/28/2020,3716916,Bill #3716916,VendBill,-887.53,
,Accrued Purchases,7/10/2020,PO 07102020cyto -Received from RD on 07/22/2020,3308884,Bill #3308884,VendBill,-956.53,
,Accrued Purchases,7/31/2020,072220Flow without receipts,IR-0378,Item Receipt #IR-0378,ItemRcpt,-663.6,
,Accrued Purchases,7/22/2020,072020APMOL,IR-0330,Item Receipt #IR-0330,ItemRcpt,-502.64,
,Accrued Purchases,8/31/2020,08262AP ACCORDING TO INVENTORY LIST,IR-0500,Item Receipt #IR-0500,ItemRcpt,-1133.44,
,Accrued Purchases,9/1/2020,082620Cyto,IR-0468,Item Receipt #IR-0468,ItemRcpt,-159.3,
,Accrued Purchases,8/7/2020,080620Cyto,IR-0403,Item Receipt #IR-0403,ItemRcpt,-953.7,
,Accrued Purchases,8/7/2020,080620Cyto,IR-0496,Item Receipt #IR-0496,ItemRcpt,-204.5,
,Accrued Purchases,8/27/2020,081920MOL,IR-0415,Item Receipt #IR-0415,ItemRcpt,-451.25,
,Accrued Purchases,9/1/2020,PO 082620CYTO,7177968,Bill #7177968,VendBill,-194.64,
,Accrued Purchases,8/6/2020,PO 080620CYTO - received From RD 08/16/2020,4807584,Bill #4807584,VendBill,-1238.08,
,Accrued Purchases,8/20/2020,PO 08192020AP,6399180,Bill #6399180,VendBill,-980.06,
,Accrued Purchases,8/21/2020,PO 08192020AP,6483736,Bill #6483736,VendBill,-537.66,
,Accrued Purchases,9/1/2020,PO 082620AP,7177966,Bill #7177966,VendBill,-1208.53,
,Accrued Purchases,8/31/2020,082120Flow without receipt,IR-0497,Item Receipt #IR-0497,ItemRcpt,-1965.4,
,Accrued Purchases,8/28/2020,082620Cyto,IR-0467,Item Receipt #IR-0467,ItemRcpt,-1385.28,
,Accrued Purchases,8/24/2020,PO 0812120FLOW,6581797,Bill #6581797,VendBill,-2098.75,
,Accrued Purchases,8/27/2020,PO 082620CYTO,6902472,Bill #6902472,VendBill,-1480.21,
,Accrued Purchases,8/21/2020,081920MOL,IR-0404,Item Receipt #IR-0404,ItemRcpt,-892.96,
